Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",-0.1010390807702755,0.3704439588239439,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,18.860911756573234
Haiku,Vivid_Imagery,"CL1_(-4, 0)_alpha",0.0235498592977924,0.7176381651070427,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,265.3427286928912
Haiku,Moved,"CL1_(-4, 0)_alpha",0.2048780094869003,0.0658519163795928,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.9593105325101432
Haiku,Originality,"CL1_(-4, 0)_alpha",0.1195552200209524,0.2896107656005485,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,9.607085429370708
Haiku,Creativity,"CL1_(-4, 0)_alpha",0.0470076904013406,0.6726901236342969,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.8893963174586833
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",-0.1940413156464931,0.0370869775126687,-0.1940413156464931,CL1,"(-4, 0)",alpha,Linear,LightGBM,4.426072563735938
Senryu,Vivid_Imagery,"CL1_(-4, 0)_alpha",0.014064212445808,0.8730898811513557,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,-15.401823017526576
Senryu,Moved,"CL1_(-4, 0)_alpha",-0.0007729444712002,0.9880741890615592,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.3240927034786328
Senryu,Originality,"CL1_(-4, 0)_alpha",0.0524711611599214,0.5733899631835111,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,3.8806008654578164
Senryu,Creativity,"CL1_(-4, 0)_alpha",-0.0374316225805916,0.6976522515687833,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,13.659117290584852
Control,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",-0.1129616345401397,0.0420403810557322,-0.1129616345401397,CL1,"(-4, 0)",alpha,Linear,LightGBM,18.557620169439865
Control,Vivid_Imagery,"CL1_(-4, 0)_alpha",-0.067606089628724,0.2104294701014235,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.46514220128585426
Control,Moved,"CL1_(-4, 0)_alpha",-0.0858056194809406,0.1298306575051645,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,6.23948909706673
Control,Originality,"CL1_(-4, 0)_alpha",-0.1864190319133696,0.0009063363098173,-0.1864190319133696,CL1,"(-4, 0)",alpha,Linear,LightGBM,1.5771278673385125
Control,Creativity,"CL1_(-4, 0)_alpha",-0.2280850992508281,5.440458085124975e-05,-0.2280850992508281,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.2476973200518346
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_beta",-0.306706362959332,0.0471720838202997,-0.306706362959332,CL1,"(-4, 0)",beta,Linear,LightGBM,-11.253170607901769
Haiku,Vivid_Imagery,"CL1_(-4, 0)_beta",-0.2771929858670642,0.00171746603488,-0.2771929858670642,CL1,"(-4, 0)",beta,Linear,LightGBM,327.26079723223756
Haiku,Moved,"CL1_(-4, 0)_beta",-0.2655151284607858,0.0786156842386977,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,-0.10406009317199595
Haiku,Originality,"CL1_(-4, 0)_beta",-0.2408838218028134,0.1180528544580545,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,248.53745839739926
Haiku,Creativity,"CL1_(-4, 0)_beta",-0.3379148542091862,0.0263450608342442,-0.3379148542091862,CL1,"(-4, 0)",beta,Linear,LightGBM,1.0564854463863491
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_beta",-0.386745625274454,0.0008257429164621,-0.386745625274454,CL1,"(-4, 0)",beta,Linear,LightGBM,-2.4911725584675204
Senryu,Vivid_Imagery,"CL1_(-4, 0)_beta",-0.1209758392040109,0.292318589598729,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,3.231318949245123
Senryu,Moved,"CL1_(-4, 0)_beta",-0.0061432069413925,0.925429175364705,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,-1.8271230637481235
Senryu,Originality,"CL1_(-4, 0)_beta",-0.1987867763034969,0.0844038891397567,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,9.237868425502343
Senryu,Creativity,"CL1_(-4, 0)_beta",-0.4204246503211723,0.0002083228569504,-0.4204246503211723,CL1,"(-4, 0)",beta,Linear,LightGBM,20.247102500405763
Control,Aesthetic_Appeal,"CL1_(-4, 0)_beta",-0.0204864086991942,0.7534489776776547,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,89.82303202395774
Control,Vivid_Imagery,"CL1_(-4, 0)_beta",0.0140780306205794,0.8271509799302664,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,5.381700850170556
Control,Moved,"CL1_(-4, 0)_beta",-0.0329495554402668,0.6207002668067324,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,85.73083705531504
Control,Originality,"CL1_(-4, 0)_beta",0.0024393098182679,0.9707039897870624,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0
Control,Creativity,"CL1_(-4, 0)_beta",0.0044506392381499,0.9466096054023811,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,5.937626132463454
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_delta",0.0289569621280885,0.7358379791138918,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.6442852406056628
Haiku,Vivid_Imagery,"CL1_(-4, 0)_delta",-0.0517395691958256,0.2829546308561605,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-97.81192129722406
Haiku,Moved,"CL1_(-4, 0)_delta",-0.2350159655757141,0.0048518299632587,-0.2350159655757141,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.6103271267696995
Haiku,Originality,"CL1_(-4, 0)_delta",-0.1158385586920615,0.1598536693232211,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-1.3714361571487803
Haiku,Creativity,"CL1_(-4, 0)_delta",-0.0616705552370136,0.4610521224219451,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-1.169801844046699
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_delta",0.0607883628871086,0.4050607069017782,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,3.1444771170704238
Senryu,Vivid_Imagery,"CL1_(-4, 0)_delta",0.0426736221462506,0.554533089006086,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.0
Senryu,Moved,"CL1_(-4, 0)_delta",0.0442503462052209,0.3117881596759178,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.5382541401923181
Senryu,Originality,"CL1_(-4, 0)_delta",0.1062018407618192,0.1750850857570852,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.3054411188821412
Senryu,Creativity,"CL1_(-4, 0)_delta",0.0544998140598572,0.4642487811210229,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-6.131322448631318
Control,Aesthetic_Appeal,"CL1_(-4, 0)_delta",-0.0074509723238102,0.8800540861789721,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,151.6070171006567
Control,Vivid_Imagery,"CL1_(-4, 0)_delta",-0.0682161269777548,0.158040122215032,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.47684801776924035
Control,Moved,"CL1_(-4, 0)_delta",0.0251339159083209,0.6148731845614499,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,4.056266496138979
Control,Originality,"CL1_(-4, 0)_delta",0.0656270229680309,0.1837243239429433,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,5.325618332289348
Control,Creativity,"CL1_(-4, 0)_delta",0.0730429467756001,0.1420605425760203,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-2.0925263642432927
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",0.1184730583656848,0.3897715735549387,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.0
Haiku,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",0.2403037054447699,0.0026658091809246,0.2403037054447699,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,491.5503996937478
Haiku,Moved,"CL1_(-4, 0)_lower gamma",0.2134664143348002,0.1169596762277367,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.5475653361654219
Haiku,Originality,"CL1_(-4, 0)_lower gamma",0.2177312464103132,0.1174144155523986,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,28.082149073928377
Haiku,Creativity,"CL1_(-4, 0)_lower gamma",0.162585354377639,0.2383922103246901,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-0.40505679464252625
