Stimulus,TargetScore,features,params,p_values,params_significant,Cluster,Time Period,Frequency,Estimator_x,Estimator_y,SHAP_value
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",-0.0462001020625895,0.4746379876994164,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.005732799926010101
Haiku,Vivid_Imagery,"CL1_(-4, 0)_alpha",0.0235498592977924,0.7176381651070427,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.08065128531698822
Haiku,Moved,"CL1_(-4, 0)_alpha",0.2048780094869003,0.0658519163795928,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.0013141306478389968
Haiku,Originality,"CL1_(-4, 0)_alpha",0.1195552200209524,0.2896107656005485,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.0029200867566476314
Haiku,Creativity,"CL1_(-4, 0)_alpha",0.0989484848744175,0.374828157553601,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.00027033322719108917
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",-0.1940413156464931,0.0370869775126687,-0.1940413156464931,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.02028465855511441
Senryu,Vivid_Imagery,"CL1_(-4, 0)_alpha",0.0604094514138332,0.4917072664024857,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,-0.004681405172500479
Senryu,Moved,"CL1_(-4, 0)_alpha",-0.0068936061897471,0.8939412002629709,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.00011934217420949569
Senryu,Originality,"CL1_(-4, 0)_alpha",0.0232547378394328,0.6541038231256938,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.0011795139408686372
Senryu,Creativity,"CL1_(-4, 0)_alpha",-0.0263018059281772,0.7849037759287639,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.00415170738315649
Control,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",-0.1129616345401397,0.0420403810557322,-0.1129616345401397,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.005640614033264397
Control,Vivid_Imagery,"CL1_(-4, 0)_alpha",-0.0638034243195989,0.2373314285863179,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.0007518060389462089
Control,Moved,"CL1_(-4, 0)_alpha",-0.0858056194809406,0.1298306575051645,0.0,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.0018965012453090364
Control,Originality,"CL1_(-4, 0)_alpha",-0.1369433511161707,0.0146123412732244,-0.1369433511161707,CL1,"(-4, 0)",alpha,Linear,LightGBM,0.00047937017244331685
Control,Creativity,"CL1_(-4, 0)_alpha",-0.2612824724928226,0.0060762840929424,-0.2612824724928226,CL1,"(-4, 0)",alpha,Linear,LightGBM,7.528793922548164e-05
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_beta",-0.1648324036296055,0.0594691968131914,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,-0.003420416598146434
Haiku,Vivid_Imagery,"CL1_(-4, 0)_beta",-0.2771929858670642,0.00171746603488,-0.2771929858670642,CL1,"(-4, 0)",beta,Linear,LightGBM,0.09947136693988984
Haiku,Moved,"CL1_(-4, 0)_beta",-0.2655151284607858,0.0786156842386977,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0017694777809553648
Haiku,Originality,"CL1_(-4, 0)_beta",-0.2408838218028134,0.1180528544580545,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.07554330042474142
Haiku,Creativity,"CL1_(-4, 0)_beta",-0.2531374067031195,0.0958485686321095,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.00032112019647001494
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_beta",-0.386745625274454,0.0008257429164621,-0.386745625274454,CL1,"(-4, 0)",beta,Linear,LightGBM,-0.004762810706774083
Senryu,Vivid_Imagery,"CL1_(-4, 0)_beta",-0.2389777178642818,0.0381067404716828,-0.2389777178642818,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0009821638143602198
Senryu,Moved,"CL1_(-4, 0)_beta",-0.1153421310167375,0.0786777848775192,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,-0.00011706015765334662
Senryu,Originality,"CL1_(-4, 0)_beta",-0.1000652953348537,0.1286892370383441,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.002807862743313782
Senryu,Creativity,"CL1_(-4, 0)_beta",-0.3155441869878764,0.0051735300058611,-0.3155441869878764,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0061541344986035754
Control,Aesthetic_Appeal,"CL1_(-4, 0)_beta",-0.0204864086991942,0.7534489776776547,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.027301833441932443
Control,Vivid_Imagery,"CL1_(-4, 0)_beta",-0.0031866262196488,0.9605806827713068,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0022368478234533833
Control,Moved,"CL1_(-4, 0)_beta",-0.0329495554402668,0.6207002668067324,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.026058005183986332
Control,Originality,"CL1_(-4, 0)_beta",-0.0304245357610866,0.6468357221477588,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0
Control,Creativity,"CL1_(-4, 0)_beta",0.0554885083313905,0.6342848552624363,0.0,CL1,"(-4, 0)",beta,Linear,LightGBM,0.0018047495843353965
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_delta",0.0096683565210463,0.8399292220715506,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.00019583138012330178
Haiku,Vivid_Imagery,"CL1_(-4, 0)_delta",-0.0517395691958256,0.2829546308561605,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.02973006726359394
Haiku,Moved,"CL1_(-4, 0)_delta",-0.2350159655757141,0.0048518299632587,-0.2350159655757141,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.001443676830031049
Haiku,Originality,"CL1_(-4, 0)_delta",-0.1158385586920615,0.1598536693232211,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.0004168498957899028
Haiku,Creativity,"CL1_(-4, 0)_delta",-0.0651835400765536,0.4382805912294509,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.0003555628705309116
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_delta",0.0607883628871086,0.4050607069017782,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.014972534195137487
Senryu,Vivid_Imagery,"CL1_(-4, 0)_delta",0.0534074223215881,0.4611550483786645,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.0
Senryu,Moved,"CL1_(-4, 0)_delta",0.0398789854019572,0.3617723656853921,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,1.0287543637956663e-05
Senryu,Originality,"CL1_(-4, 0)_delta",0.0512635300873322,0.2437269893547746,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,9.28392458608332e-05
Senryu,Creativity,"CL1_(-4, 0)_delta",0.1003785145488872,0.1796599332865531,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.0018636238445687897
Control,Aesthetic_Appeal,"CL1_(-4, 0)_delta",-0.0074509723238102,0.8800540861789721,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.04608116021296556
Control,Vivid_Imagery,"CL1_(-4, 0)_delta",-0.063769245884981,0.1868843917274097,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,5.157644156180873e-05
Control,Moved,"CL1_(-4, 0)_delta",0.0251339159083209,0.6148731845614499,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.0012329077495863156
Control,Originality,"CL1_(-4, 0)_delta",0.0394904625696819,0.4237714499343773,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,0.001618728976379741
Control,Creativity,"CL1_(-4, 0)_delta",0.074073028001827,0.3785078960040972,0.0,CL1,"(-4, 0)",delta,Linear,LightGBM,-0.0006360262505298762
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",0.0431095215036878,0.5847960668236039,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.0
Haiku,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",0.2403037054447699,0.0026658091809246,0.2403037054447699,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.1494074163202881
Haiku,Moved,"CL1_(-4, 0)_lower gamma",0.2134664143348002,0.1169596762277367,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,3.972157871266072e-05
Haiku,Originality,"CL1_(-4, 0)_lower gamma",0.2177312464103132,0.1174144155523986,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.008535607621254826
Haiku,Creativity,"CL1_(-4, 0)_lower gamma",0.1353877058461099,0.3262119566849005,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-0.0001231175667606463
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",0.0505112084582734,0.6579817325449455,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.0031597331615241947
Senryu,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",0.1819886025998024,0.1146607668152374,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.00014232918060157115
Senryu,Moved,"CL1_(-4, 0)_lower gamma",0.0508356845474924,0.438366102489269,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,3.304694776837617e-05
Senryu,Originality,"CL1_(-4, 0)_lower gamma",0.0332013423371141,0.6137477826093005,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-4.637064982405434e-05
Senryu,Creativity,"CL1_(-4, 0)_lower gamma",0.0813824787026908,0.477198546582214,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.0004904389694599126
Control,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",0.1194163851213787,0.0651480379723472,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.00793766412028663
Control,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",0.1273045178913387,0.0473355612679366,0.1273045178913387,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.0002657890039036698
Control,Moved,"CL1_(-4, 0)_lower gamma",0.081361210134847,0.2152077882061862,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-0.002518197825175456
Control,Originality,"CL1_(-4, 0)_lower gamma",0.0777305107256232,0.2361888019994678,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,-0.000848317402698804
Control,Creativity,"CL1_(-4, 0)_lower gamma",0.1542328807610758,0.1744600576642819,0.0,CL1,"(-4, 0)",lower gamma,Linear,LightGBM,0.0011872410251416274
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_theta",0.0228790866140893,0.6672693298795487,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.0010008104273547909
Haiku,Vivid_Imagery,"CL1_(-4, 0)_theta",0.0509199656910009,0.3421078343365898,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.04421659131412976
Haiku,Moved,"CL1_(-4, 0)_theta",0.0330107795898255,0.7184607069380142,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.000643024999626579
Haiku,Originality,"CL1_(-4, 0)_theta",0.0592549153917454,0.5196062973145726,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,-0.0010066031314396055
Haiku,Creativity,"CL1_(-4, 0)_theta",0.0459800157593534,0.6163121273064991,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.005944927742299754
Senryu,Aesthetic_Appeal,"CL1_(-4, 0)_theta",0.1620924964269214,0.0649088448268682,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.006248171706490514
Senryu,Vivid_Imagery,"CL1_(-4, 0)_theta",-0.0417209469736831,0.6156026149391509,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,3.8919878584743706e-05
Senryu,Moved,"CL1_(-4, 0)_theta",-0.0135048709414896,0.7883622264264883,0.0,CL1,"(-4, 0)",theta,Linear,LightGBM,0.00030871143616040486
